縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
新北市,110,交通接送服務,,總計,計,25356
新北市,110,交通接送服務,,總計,男,11870
新北市,110,交通接送服務,,總計,女,13486
新北市,110,交通接送服務,,第2級,計,323
新北市,110,交通接送服務,,第2級,男,130
新北市,110,交通接送服務,,第2級,女,193
新北市,110,交通接送服務,,第3級,計,478
新北市,110,交通接送服務,,第3級,男,200
新北市,110,交通接送服務,,第3級,女,278
新北市,110,交通接送服務,,第4級,計,6490
新北市,110,交通接送服務,,第4級,男,2934
新北市,110,交通接送服務,,第4級,女,3556
新北市,110,交通接送服務,,第5級,計,5468
新北市,110,交通接送服務,,第5級,男,2718
新北市,110,交通接送服務,,第5級,女,2750
新北市,110,交通接送服務,,第6級,計,3967
新北市,110,交通接送服務,,第6級,男,1883
新北市,110,交通接送服務,,第6級,女,2084
新北市,110,交通接送服務,,第7級,計,3968
新北市,110,交通接送服務,,第7級,男,1811
新北市,110,交通接送服務,,第7級,女,2157
新北市,110,交通接送服務,,第8級,計,4662
新北市,110,交通接送服務,,第8級,男,2194
新北市,110,交通接送服務,,第8級,女,2468
新北市,111,交通接送服務,,總計,計,38381
新北市,111,交通接送服務,,總計,男,17059
新北市,111,交通接送服務,,總計,女,21322
新北市,111,交通接送服務,,第2級,計,4935
新北市,111,交通接送服務,,第2級,男,1866
新北市,111,交通接送服務,,第2級,女,3069
新北市,111,交通接送服務,,第3級,計,5547
新北市,111,交通接送服務,,第3級,男,2295
新北市,111,交通接送服務,,第3級,女,3252
新北市,111,交通接送服務,,第4級,計,7568
新北市,111,交通接送服務,,第4級,男,3368
新北市,111,交通接送服務,,第4級,女,4200
新北市,111,交通接送服務,,第5級,計,6167
新北市,111,交通接送服務,,第5級,男,2989
新北市,111,交通接送服務,,第5級,女,3178
新北市,111,交通接送服務,,第6級,計,4409
新北市,111,交通接送服務,,第6級,男,2030
新北市,111,交通接送服務,,第6級,女,2379
新北市,111,交通接送服務,,第7級,計,4448
新北市,111,交通接送服務,,第7級,男,2028
新北市,111,交通接送服務,,第7級,女,2420
新北市,111,交通接送服務,,第8級,計,5307
新北市,111,交通接送服務,,第8級,男,2483
新北市,111,交通接送服務,,第8級,女,2824
新北市,112,交通接送服務,,總計,計,46541
新北市,112,交通接送服務,,總計,男,20413
新北市,112,交通接送服務,,總計,女,26128
新北市,112,交通接送服務,,第2級,計,6987
新北市,112,交通接送服務,,第2級,男,2635
新北市,112,交通接送服務,,第2級,女,4352
新北市,112,交通接送服務,,第3級,計,8141
新北市,112,交通接送服務,,第3級,男,3387
新北市,112,交通接送服務,,第3級,女,4754
新北市,112,交通接送服務,,第4級,計,8858
新北市,112,交通接送服務,,第4級,男,3942
新北市,112,交通接送服務,,第4級,女,4916
新北市,112,交通接送服務,,第5級,計,7005
新北市,112,交通接送服務,,第5級,男,3392
新北市,112,交通接送服務,,第5級,女,3613
新北市,112,交通接送服務,,第6級,計,4550
新北市,112,交通接送服務,,第6級,男,2031
新北市,112,交通接送服務,,第6級,女,2519
新北市,112,交通接送服務,,第7級,計,5107
新北市,112,交通接送服務,,第7級,男,2337
新北市,112,交通接送服務,,第7級,女,2770
新北市,112,交通接送服務,,第8級,計,5893
新北市,112,交通接送服務,,第8級,男,2689
新北市,112,交通接送服務,,第8級,女,3204
新北市,113,交通接送服務,,總計,計,51418
新北市,113,交通接送服務,,總計,男,22198
新北市,113,交通接送服務,,總計,女,29220
新北市,113,交通接送服務,,第2級,計,8227
新北市,113,交通接送服務,,第2級,男,3071
新北市,113,交通接送服務,,第2級,女,5156
新北市,113,交通接送服務,,第3級,計,9814
新北市,113,交通接送服務,,第3級,男,4031
新北市,113,交通接送服務,,第3級,女,5783
新北市,113,交通接送服務,,第4級,計,9967
新北市,113,交通接送服務,,第4級,男,4366
新北市,113,交通接送服務,,第4級,女,5601
新北市,113,交通接送服務,,第5級,計,7527
新北市,113,交通接送服務,,第5級,男,3565
新北市,113,交通接送服務,,第5級,女,3962
新北市,113,交通接送服務,,第6級,計,4663
新北市,113,交通接送服務,,第6級,男,2134
新北市,113,交通接送服務,,第6級,女,2529
新北市,113,交通接送服務,,第7級,計,5325
新北市,113,交通接送服務,,第7級,男,2399
新北市,113,交通接送服務,,第7級,女,2926
新北市,113,交通接送服務,,第8級,計,5895
新北市,113,交通接送服務,,第8級,男,2632
新北市,113,交通接送服務,,第8級,女,3263
臺北市,110,交通接送服務,,總計,計,18188
臺北市,110,交通接送服務,,總計,男,7823
臺北市,110,交通接送服務,,總計,女,10365
臺北市,110,交通接送服務,,第2級,計,66
臺北市,110,交通接送服務,,第2級,男,29
臺北市,110,交通接送服務,,第2級,女,37
臺北市,110,交通接送服務,,第3級,計,169
臺北市,110,交通接送服務,,第3級,男,56
臺北市,110,交通接送服務,,第3級,女,113
臺北市,110,交通接送服務,,第4級,計,4259
臺北市,110,交通接送服務,,第4級,男,1730
臺北市,110,交通接送服務,,第4級,女,2529
臺北市,110,交通接送服務,,第5級,計,3355
臺北市,110,交通接送服務,,第5級,男,1554
臺北市,110,交通接送服務,,第5級,女,1801
臺北市,110,交通接送服務,,第6級,計,2498
臺北市,110,交通接送服務,,第6級,男,1061
臺北市,110,交通接送服務,,第6級,女,1437
臺北市,110,交通接送服務,,第7級,計,3586
臺北市,110,交通接送服務,,第7級,男,1554
臺北市,110,交通接送服務,,第7級,女,2032
臺北市,110,交通接送服務,,第8級,計,4255
臺北市,110,交通接送服務,,第8級,男,1839
臺北市,110,交通接送服務,,第8級,女,2416
臺北市,111,交通接送服務,,總計,計,28415
臺北市,111,交通接送服務,,總計,男,11670
臺北市,111,交通接送服務,,總計,女,16745
臺北市,111,交通接送服務,,第2級,計,2540
臺北市,111,交通接送服務,,第2級,男,803
臺北市,111,交通接送服務,,第2級,女,1737
臺北市,111,交通接送服務,,第3級,計,3589
臺北市,111,交通接送服務,,第3級,男,1377
臺北市,111,交通接送服務,,第3級,女,2212
臺北市,111,交通接送服務,,第4級,計,5773
臺北市,111,交通接送服務,,第4級,男,2295
臺北市,111,交通接送服務,,第4級,女,3478
臺北市,111,交通接送服務,,第5級,計,4158
臺北市,111,交通接送服務,,第5級,男,1917
臺北市,111,交通接送服務,,第5級,女,2241
臺北市,111,交通接送服務,,第6級,計,3044
臺北市,111,交通接送服務,,第6級,男,1347
臺北市,111,交通接送服務,,第6級,女,1697
臺北市,111,交通接送服務,,第7級,計,4284
臺北市,111,交通接送服務,,第7級,男,1792
臺北市,111,交通接送服務,,第7級,女,2492
臺北市,111,交通接送服務,,第8級,計,5027
臺北市,111,交通接送服務,,第8級,男,2139
臺北市,111,交通接送服務,,第8級,女,2888
臺北市,112,交通接送服務,,總計,計,38000
臺北市,112,交通接送服務,,總計,男,15308
臺北市,112,交通接送服務,,總計,女,22692
臺北市,112,交通接送服務,,第2級,計,3805
臺北市,112,交通接送服務,,第2級,男,1276
臺北市,112,交通接送服務,,第2級,女,2529
臺北市,112,交通接送服務,,第3級,計,5282
臺北市,112,交通接送服務,,第3級,男,1937
臺北市,112,交通接送服務,,第3級,女,3345
臺北市,112,交通接送服務,,第4級,計,8039
臺北市,112,交通接送服務,,第4級,男,3159
