縣市,年度,服務類別,CMS 等級,性別,人數
新北市,2021,營養餐飲服務,總計,合計,746
新北市,2021,營養餐飲服務,總計,男,427
新北市,2021,營養餐飲服務,總計,女,319
新北市,2021,營養餐飲服務,第2級,合計,236
新北市,2021,營養餐飲服務,第2級,男,135
新北市,2021,營養餐飲服務,第2級,女,101
新北市,2021,營養餐飲服務,第3級,合計,131
新北市,2021,營養餐飲服務,第3級,男,89
新北市,2021,營養餐飲服務,第3級,女,42
新北市,2021,營養餐飲服務,第4級,合計,179
新北市,2021,營養餐飲服務,第4級,男,91
新北市,2021,營養餐飲服務,第4級,女,88
新北市,2021,營養餐飲服務,第5級,合計,89
新北市,2021,營養餐飲服務,第5級,男,51
新北市,2021,營養餐飲服務,第5級,女,38
新北市,2021,營養餐飲服務,第6級,合計,51
新北市,2021,營養餐飲服務,第6級,男,28
新北市,2021,營養餐飲服務,第6級,女,23
新北市,2021,營養餐飲服務,第7級,合計,37
新北市,2021,營養餐飲服務,第7級,男,19
新北市,2021,營養餐飲服務,第7級,女,18
新北市,2021,營養餐飲服務,第8級,合計,23
新北市,2021,營養餐飲服務,第8級,男,14
新北市,2021,營養餐飲服務,第8級,女,9
新北市,2022,營養餐飲服務,總計,合計,814
新北市,2022,營養餐飲服務,總計,男,457
新北市,2022,營養餐飲服務,總計,女,357
新北市,2022,營養餐飲服務,第2級,合計,248
新北市,2022,營養餐飲服務,第2級,男,149
新北市,2022,營養餐飲服務,第2級,女,99
新北市,2022,營養餐飲服務,第3級,合計,159
新北市,2022,營養餐飲服務,第3級,男,100
新北市,2022,營養餐飲服務,第3級,女,59
新北市,2022,營養餐飲服務,第4級,合計,173
新北市,2022,營養餐飲服務,第4級,男,87
新北市,2022,營養餐飲服務,第4級,女,86
新北市,2022,營養餐飲服務,第5級,合計,95
新北市,2022,營養餐飲服務,第5級,男,50
新北市,2022,營養餐飲服務,第5級,女,45
新北市,2022,營養餐飲服務,第6級,合計,60
新北市,2022,營養餐飲服務,第6級,男,26
新北市,2022,營養餐飲服務,第6級,女,34
新北市,2022,營養餐飲服務,第7級,合計,46
新北市,2022,營養餐飲服務,第7級,男,25
新北市,2022,營養餐飲服務,第7級,女,21
新北市,2022,營養餐飲服務,第8級,合計,33
新北市,2022,營養餐飲服務,第8級,男,20
新北市,2022,營養餐飲服務,第8級,女,13
新北市,2023,營養餐飲服務,總計,合計,705
新北市,2023,營養餐飲服務,總計,男,407
新北市,2023,營養餐飲服務,總計,女,298
新北市,2023,營養餐飲服務,第2級,合計,217
新北市,2023,營養餐飲服務,第2級,男,136
新北市,2023,營養餐飲服務,第2級,女,81
新北市,2023,營養餐飲服務,第3級,合計,136
新北市,2023,營養餐飲服務,第3級,男,78
新北市,2023,營養餐飲服務,第3級,女,58
新北市,2023,營養餐飲服務,第4級,合計,164
新北市,2023,營養餐飲服務,第4級,男,91
新北市,2023,營養餐飲服務,第4級,女,73
新北市,2023,營養餐飲服務,第5級,合計,78
新北市,2023,營養餐飲服務,第5級,男,43
新北市,2023,營養餐飲服務,第5級,女,35
新北市,2023,營養餐飲服務,第6級,合計,49
新北市,2023,營養餐飲服務,第6級,男,26
新北市,2023,營養餐飲服務,第6級,女,23
新北市,2023,營養餐飲服務,第7級,合計,30
新北市,2023,營養餐飲服務,第7級,男,15
新北市,2023,營養餐飲服務,第7級,女,15
新北市,2023,營養餐飲服務,第8級,合計,31
新北市,2023,營養餐飲服務,第8級,男,18
新北市,2023,營養餐飲服務,第8級,女,13
新北市,2024,營養餐飲服務,總計,合計,561
新北市,2024,營養餐飲服務,總計,男,328
新北市,2024,營養餐飲服務,總計,女,233
新北市,2024,營養餐飲服務,第2級,合計,167
新北市,2024,營養餐飲服務,第2級,男,100
新北市,2024,營養餐飲服務,第2級,女,67
新北市,2024,營養餐飲服務,第3級,合計,110
新北市,2024,營養餐飲服務,第3級,男,71
新北市,2024,營養餐飲服務,第3級,女,39
新北市,2024,營養餐飲服務,第4級,合計,125
新北市,2024,營養餐飲服務,第4級,男,73
新北市,2024,營養餐飲服務,第4級,女,52
新北市,2024,營養餐飲服務,第5級,合計,61
新北市,2024,營養餐飲服務,第5級,男,35
新北市,2024,營養餐飲服務,第5級,女,26
新北市,2024,營養餐飲服務,第6級,合計,37
新北市,2024,營養餐飲服務,第6級,男,21
新北市,2024,營養餐飲服務,第6級,女,16
