年度,服務類別,服務子類別,CMS 等級,性別,人數
2021,照顧服務,人次總計,第2級,男,677
2021,照顧服務,人次總計,第2級,女,1351
2021,照顧服務,人次總計,第3級,男,940
2021,照顧服務,人次總計,第3級,女,1609
2021,照顧服務,人次總計,第4級,男,1528
2021,照顧服務,人次總計,第4級,女,2348
2021,照顧服務,人次總計,第5級,男,1157
2021,照顧服務,人次總計,第5級,女,1342
2021,照顧服務,人次總計,第6級,男,884
2021,照顧服務,人次總計,第6級,女,1080
2021,照顧服務,人次總計,第7級,男,953
2021,照顧服務,人次總計,第7級,女,1123
2021,照顧服務,人次總計,第8級,男,932
2021,照顧服務,人次總計,第8級,女,1067
2021,照顧服務,居家服務,第2級,男,646
2021,照顧服務,居家服務,第2級,女,1302
2021,照顧服務,居家服務,第3級,男,878
2021,照顧服務,居家服務,第3級,女,1499
2021,照顧服務,居家服務,第4級,男,1445
2021,照顧服務,居家服務,第4級,女,2144
2021,照顧服務,居家服務,第5級,男,1085
2021,照顧服務,居家服務,第5級,女,1232
2021,照顧服務,居家服務,第6級,男,779
2021,照顧服務,居家服務,第6級,女,929
2021,照顧服務,居家服務,第7級,男,942
2021,照顧服務,居家服務,第7級,女,1091
2021,照顧服務,居家服務,第8級,男,925
2021,照顧服務,居家服務,第8級,女,1056
2021,照顧服務,日間照顧服務,第2級,男,34
2021,照顧服務,日間照顧服務,第2級,女,60
2021,照顧服務,日間照顧服務,第3級,男,71
2021,照顧服務,日間照顧服務,第3級,女,152
2021,照顧服務,日間照顧服務,第4級,男,117
2021,照顧服務,日間照顧服務,第4級,女,300
2021,照顧服務,日間照顧服務,第5級,男,93
2021,照顧服務,日間照顧服務,第5級,女,152
2021,照顧服務,日間照顧服務,第6級,男,149
2021,照顧服務,日間照顧服務,第6級,女,229
2021,照顧服務,日間照顧服務,第7級,男,21
2021,照顧服務,日間照顧服務,第7級,女,48
2021,照顧服務,日間照顧服務,第8級,男,16
2021,照顧服務,日間照顧服務,第8級,女,19
2021,照顧服務,家庭托顧,第2級,男,0
2021,照顧服務,家庭托顧,第2級,女,0
2021,照顧服務,家庭托顧,第3級,男,1
2021,照顧服務,家庭托顧,第3級,女,1
2021,照顧服務,家庭托顧,第4級,男,2
2021,照顧服務,家庭托顧,第4級,女,3
2021,照顧服務,家庭托顧,第5級,男,2
2021,照顧服務,家庭托顧,第5級,女,2
2021,照顧服務,家庭托顧,第6級,男,8
2021,照顧服務,家庭托顧,第6級,女,5
2021,照顧服務,家庭托顧,第7級,男,2
2021,照顧服務,家庭托顧,第7級,女,4
2021,照顧服務,家庭托顧,第8級,男,1
2021,照顧服務,家庭托顧,第8級,女,2
2022,照顧服務,人次總計,第2級,男,755
2022,照顧服務,人次總計,第2級,女,1642
2022,照顧服務,人次總計,第3級,男,1160
2022,照顧服務,人次總計,第3級,女,1946
