年度,服務類別,服務子類別,CMS 等級,性別,人數
2021,照顧服務,人次總計,第2級,男,1708
2021,照顧服務,人次總計,第2級,女,3186
2021,照顧服務,人次總計,第3級,男,1875
2021,照顧服務,人次總計,第3級,女,3127
2021,照顧服務,人次總計,第4級,男,2835
2021,照顧服務,人次總計,第4級,女,3654
2021,照顧服務,人次總計,第5級,男,2464
2021,照顧服務,人次總計,第5級,女,2641
2021,照顧服務,人次總計,第6級,男,1693
2021,照顧服務,人次總計,第6級,女,1977
2021,照顧服務,人次總計,第7級,男,1326
2021,照顧服務,人次總計,第7級,女,1536
2021,照顧服務,人次總計,第8級,男,1457
2021,照顧服務,人次總計,第8級,女,1519
2021,照顧服務,居家服務,第2級,男,1645
2021,照顧服務,居家服務,第2級,女,3012
2021,照顧服務,居家服務,第3級,男,1810
2021,照顧服務,居家服務,第3級,女,2973
2021,照顧服務,居家服務,第4級,男,2720
2021,照顧服務,居家服務,第4級,女,3417
2021,照顧服務,居家服務,第5級,男,2358
2021,照顧服務,居家服務,第5級,女,2467
2021,照顧服務,居家服務,第6級,男,1604
2021,照顧服務,居家服務,第6級,女,1825
2021,照顧服務,居家服務,第7級,男,1320
2021,照顧服務,居家服務,第7級,女,1521
2021,照顧服務,居家服務,第8級,男,1449
2021,照顧服務,居家服務,第8級,女,1512
2021,照顧服務,日間照顧服務,第2級,男,82
2021,照顧服務,日間照顧服務,第2級,女,232
2021,照顧服務,日間照顧服務,第3級,男,106
2021,照顧服務,日間照顧服務,第3級,女,247
2021,照顧服務,日間照顧服務,第4級,男,184
2021,照顧服務,日間照顧服務,第4級,女,388
2021,照顧服務,日間照顧服務,第5級,男,163
2021,照顧服務,日間照顧服務,第5級,女,269
2021,照顧服務,日間照顧服務,第6級,男,160
2021,照顧服務,日間照顧服務,第6級,女,257
2021,照顧服務,日間照顧服務,第7級,男,25
2021,照顧服務,日間照顧服務,第7級,女,43
2021,照顧服務,日間照顧服務,第8級,男,15
2021,照顧服務,日間照顧服務,第8級,女,22
2021,照顧服務,家庭托顧,第2級,男,1
2021,照顧服務,家庭托顧,第2級,女,0
2021,照顧服務,家庭托顧,第3級,男,0
2021,照顧服務,家庭托顧,第3級,女,2
2021,照顧服務,家庭托顧,第4級,男,1
2021,照顧服務,家庭托顧,第4級,女,6
2021,照顧服務,家庭托顧,第5級,男,2
2021,照顧服務,家庭托顧,第5級,女,6
2021,照顧服務,家庭托顧,第6級,男,7
2021,照顧服務,家庭托顧,第6級,女,10
2021,照顧服務,家庭托顧,第7級,男,3
2021,照顧服務,家庭托顧,第7級,女,5
2021,照顧服務,家庭托顧,第8級,男,0
2021,照顧服務,家庭托顧,第8級,女,2
2022,照顧服務,人次總計,第2級,男,2189
2022,照顧服務,人次總計,第2級,女,4039
2022,照顧服務,人次總計,第3級,男,2485
2022,照顧服務,人次總計,第3級,女,3963
2022,照顧服務,人次總計,第4級,男,3182
2022,照顧服務,人次總計,第4級,女,4330
2022,照顧服務,人次總計,第5級,男,2704
2022,照顧服務,人次總計,第5級,女,2912
2022,照顧服務,人次總計,第6級,男,1914
2022,照顧服務,人次總計,第6級,女,2223
2022,照顧服務,人次總計,第7級,男,1585
2022,照顧服務,人次總計,第7級,女,1890
2022,照顧服務,人次總計,第8級,男,1870
2022,照顧服務,人次總計,第8級,女,1921
2022,照顧服務,居家服務,第2級,男,2092
2022,照顧服務,居家服務,第2級,女,3785
2022,照顧服務,居家服務,第3級,男,2386
2022,照顧服務,居家服務,第3級,女,3723
2022,照顧服務,居家服務,第4級,男,3019
2022,照顧服務,居家服務,第4級,女,4008
2022,照顧服務,居家服務,第5級,男,2563
2022,照顧服務,居家服務,第5級,女,2723
2022,照顧服務,居家服務,第6級,男,1812
2022,照顧服務,居家服務,第6級,女,2028
2022,照顧服務,居家服務,第7級,男,1572
2022,照顧服務,居家服務,第7級,女,1865
2022,照顧服務,居家服務,第8級,男,1865
