機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
(基隆)亞捷汽車租賃股份有限公司,BA0100038,BA,臺北市,士林區,臺北市士林區中正路499號1樓,121.5097732544,25.069278717,B,交通接送服務(DA01);社區式交通接送服務(BD03)
(基隆)金旺租賃有限公司,BA0100039,BA,臺北市,松山區,臺北市松山區南京東路四段197號7樓,121.5569610596,25.0517578125,B,社區式交通接送服務(BD03);交通接送服務(DA01)
(基隆市)大豐國際租賃有限公司,BA0100053,BA,臺北市,南港區,臺北市南港區忠孝東路六段278巷23弄14號1樓,121.5900726318,25.0484714508,B,交通接送服務(DA01);社區式交通接送服務(BD03)
(新北)三合利計程車客運有限公司,BA0100037,BA,臺北市,文山區,臺北市文山區興隆路四段151號3樓之4,121.5616760254,24.9847507477,B,交通接送服務(DA01)
(新北)三揚國際租賃有限公司,BA0100052,BA,臺北市,文山區,臺北市文山區辛亥路五段98號,121.552986145,24.9982833862,B,交通接送服務(DA01)
(新北)亞捷汽車租賃股份有限公司,BA0100011,BA,臺北市,士林區,臺北市士林區中正路499號1樓,121.5182647705,25.0918464661,B,交通接送服務
(新北)吉盛交通股份有限公司,BA0100028,BA,臺北市,北投區,臺北市北投區育仁路155之1號2樓,121.5006484985,25.1367702484,B,交通接送服務(DA01);社區式交通接送服務(BD03)
(新北)大豐交通有限公司台北市分公司,BA0100054,BA,臺北市,文山區,臺北市文山區木新路三段11號,121.5378494263,24.9943199158,B,交通接送服務(DA01)
(新北)大豐國際租賃有限公司,BA0200008,BA,臺北市,南港區,臺北市南港區忠孝東路六段278巷23弄14號,121.5900650024,25.048538208,B,交通接送服務
(新北)好爸爸無障礙爬梯機接送有限公司,BA0100029,BA,臺北市,北投區,臺北市北投區致遠一路一段29號,121.5167236328,25.1081428528,B,交通接送服務
(新北)捷安租賃股份有限公司,BA0100051,BA,臺北市,大同區,臺北市大同區環河北路二段205巷17號,121.5097732544,25.069278717,B,社區式交通接送服務(BD03);交通接送服務(DA01)
(新北)曼巴租賃有限公司,BA0100036,BA,臺北市,大安區,臺北市大安區敦化南路一段225號地下三層之7,121.5492858887,25.0405673981,B,交通接送服務(DA01);社區式交通接送服務(BD03)
(新北)生活交通有限公司,BA0100050,BA,臺北市,中山區,臺北市中山區民族東路2號6樓,121.5233612061,25.0682983398,B,交通接送服務(DA01)
(新北)生通股份有限公司,BA0100048,BA,臺北市,中山區,臺北市中山區民族東路2號6樓,121.5233612061,25.0682983398,B,交通接送服務
(新北)社團法人臺灣58金融仕家協會,BE0100071,BE,臺北市,萬華區,臺北市萬華區西昌街171之2號1、2樓,121.5007019043,25.0389194489,B,營養餐飲服務
(新北)神同行小客車租賃有限公司,BA0100018,BA,臺北市,松山區,臺北市松山區八德路二段386號12樓之7,121.5877456665,25.0528583527,B,交通接送服務
(新北)財團法人伊甸社會福利基金會,BD0100056,BD,臺北市,文山區,臺北市文山區萬美街一段55號3樓；通訊：新北市中和區中山路二段351號8樓之9,121.5681152344,25.0023422241,B,交通接送服務
(臺北市)亞捷汽車租賃股份有限公司,BA0100024,BA,臺北市,士林區,臺北市士林區中正路499號1樓,121.5182647705,25.0918464661,B,交通接送服務(DA01);社區式交通接送服務(BD03)
(臺北市C+)中華民國天使之家全人關懷協會,BF0100037,BF,臺北市,內湖區,臺北市內湖區湖興里成功路2段242號1樓,121.5900650024,25.0658874512,B,喘息服務
(臺北市C+)中華民國天使之家全人關懷協會,BF0100037,BF,臺北市,內湖區,臺北市內湖區湖興里成功路2段242號1樓,121.5900650024,25.0658874512,C,巷弄長照站
(臺北市C+)財團法人弘道老人福利基金會,BD0100062,BD,臺北市,中正區,臺北市中正區紹興北街２巷３樓４樓,121.6079330444,25.0537624359,C,巷弄長照站
(臺北市政府交通接送)接受派案帳號,BA0100015,BA,臺北市,信義區,臺北市信義區市府路1號北區2樓,121.5637817383,25.0375232697,B,交通接送服務(DA01)
C+ 社團法人台北市向日葵慈善協會,BE0100057,BE,臺北市,松山區,臺北市松山區東勢里南京東路4段133巷7弄9號1樓,121.5554275513,25.0525875092,B,喘息服務
C+-財團法人台北市中華基督教浸信會慈光堂,BD0100003,BD,臺北市,士林區,臺北市士林區翠山里中社路一段43巷3號,121.5602035522,25.1087741852,B,營養餐飲服務;喘息服務
C+-財團法人台北市中華基督教浸信會慈光堂,BD0100003,BD,臺北市,士林區,臺北市士林區翠山里中社路一段43巷3號,121.5602035522,25.1087741852,C,巷弄長照站
一大心國際有限公司,BB0100013,BB,臺北市,中山區,臺北市中山區中山里新生北路二段66之8號1樓,121.5272140503,25.0564002991,B,輔具及居家無障礙環境服務
一心健康事業股份有限公司附設臺北市私立繫心居家長照機構,1R0100031,1,臺北市,松山區,臺北市松山區吉仁里延吉街11號4樓之1（A室）,121.5536880493,25.0467262268,B,居家服務;喘息服務
丁大元診所,B20100111,B2,臺北市,內湖區,臺北市內湖區東湖路119巷49弄4號,121.6171340942,25.0699043274,B,居家失能個案家庭醫師照護服務
三合利計程車客運有限公司,BA0100043,BA,臺北市,文山區,臺北市文山區興隆路四段151號2樓之4,121.5617446899,24.9847240448,B,交通接送服務(DA01)
三軍總醫院松山分院附設民眾診療服務處附設居家護理所,B10100009,B1,臺北市,松山區,臺北市松山區龍田里健康路131號,121.5576705933,25.0543727875,B,專業照護服務
三軍總醫院社區式長照服務機構,2null0100001,2,臺北市,中正區,臺北市中正區汀洲路3段40號,121.5298843384,25.0164451599,B,日間照顧服務
世界潘氏宗親總會,BF0100176,BF,臺北市,松山區,臺北市松山區東光里南京東路5段29號3樓,121.5581588745,25.0517349243,C,巷弄長照站
中化銀髮事業股份有限公司,BB0100012,BB,臺北市,中正區,臺北市中正區襄陽路23號10樓,121.5152511597,25.0434951782,B,輔具及居家無障礙環境服務
