編號,屬性,機構名稱,區域別,地址,電話,收容對象,核定總床位數量,長照床位數量,養護床位數量,失智床位數量,安養床位數量
1,私立,臺北市私立上美老人長期照顧中心(養護型),士林區,臺北市士林區重慶北路4段162號1-4樓,(02)28122366,養護,33,0,33,0,0
2,公設民營,臺北市至善老人安養護中心,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,(02)28832666 ,安養、養護、長照  ,471,124,194,0,153
3,私立,臺北市私立璞園老人長期照顧中心(養護型),士林區,臺北市士林區富光里010鄰葫蘆街33號4、5、6樓,(02)28163696,養護,46,0,46,0,0
4,私立,臺北市私立永青老人長期照顧中心(養護型),士林區,臺北市士林區天壽里003鄰中山北路6段427巷8號1-4樓,(02)28761908,養護、長照,31,13,18,0,0
5,私立,臺北市私立祇福老人養護所,士林區,臺北市士林區三玉里016鄰忠誠路2段10巷11、13號1-2樓,(02)28317713,養護,39,0,39,0,0
6,私立,臺北市私立荷園老人長期照顧中心(養護型),士林區,臺北市士林區富光里010鄰葫蘆街33號2-3樓,(02)28163696,養護,39,0,39,0,0
7,私立,臺北市私立柏安老人養護所,士林區,臺北市士林區蘭雅里 024鄰 中山北路6段290巷52、54號1樓,(02)28333536,養護,20,0,20,0,0
8,私立,臺北市私立松園老人長期照顧中心(養護型),士林區,臺北市士林區蘭雅里 020鄰德行東路61巷1、2、3號1-2樓,(02)88662097,養護,49,0,49,0,0
9,私立,臺北市私立天玉老人長期照顧中心(長期照護型),士林區,臺北市士林區天玉街38巷18弄18號1-6樓,(02)28720239,長照,39,39,0,0,0
10,私立,臺北市私立慧光老人養護所,大同區,臺北市大同區星明里 014鄰寧夏路32 號5樓,(02)25582275,養護,40,0,40,0,0
11,私立,臺北市私立敦煌老人長期照顧中心(養護型),大同區,臺北市大同區重慶里014鄰敦煌路80巷3號及3-1號1樓,(02)25945133,養護,29,0,29,0,0
12,私立,臺北市私立祥安尊榮老人長期照顧中心(養護型),大同區,臺北市大同區國順里008鄰延平北路3段4號2樓,(02)25860098,養護,47,0,47,0,0
13,私立,臺北市私立永安老人養護所,大同區,臺北市大同區老師里008鄰重慶北路3段284號2-4樓、286號1-4樓,(02)25980197,養護,49,0,49,0,0
14,私立,臺北市私立德寶老人養護所,大同區,臺北市大同區建明里002鄰長安西路78巷4弄11號1-4樓,(02)25522062,養護,28,0,28,0,0
15,私立,臺北市私立仁家老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號5-6樓,(02)25530799,養護,49,0,49,0,0
16,私立,臺北市私立建順老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號3樓,(02)25520199,養護,30,0,30,0,0
17,私立,臺北市私立建興老人長期照顧中心(養護型),大同區,臺北市大同區延平里001鄰甘州街55號2樓,(02)25520199,養護,31,0,31,0,0
18,私立,臺北市私立晉安老人長期照顧中心(養護型),大同區,臺北市大同區至聖里032鄰重慶北路3段175、177號1-4樓,"(02)25982301
",養護,49,0,49,0,0
19,私立,臺北市私立祥寶尊榮老人長期照顧中心(養護型),大同區,臺北市大同區建泰里019鄰太原路97巷4、6號,(02)25501118,養護,49,0,49,0,0
20,私立,臺北市私立天恩老人長期照顧中心(養護型),大安區,臺北市大安區龍門里008鄰新生南路3段7-4號、9-4號、9-5號,(02)23620457,養護,48,0,48,0,0
21,私立,臺北市私立新常安老人長期照顧中心(養護型),大安區,臺北市大安區黎孝里006鄰安居街46巷14號1-3樓及芳和里013鄰和平東路3段228巷39號2樓,(02)23775448,養護,39,0,39,0,0
22,私立,臺北市私立健全老人長期照顧中心(養護型),大安區,臺北市大安區錦華里001鄰金山南路2段152號2、3、5、6樓,(02)23943265,養護、長照,47,9,38,0,0
23,私立,臺北市私立嘉恩老人長期照顧中心(養護型),大安區,臺北市大安區黎孝里008鄰安居街27號4、6樓及29號4、5樓,(02)27371330,養護,43,0,43,0,0
24,私立,臺北市私立康寧老人長期照顧中心(養護型),大安區,臺北市大安區光信里020鄰仁愛路4段300巷20弄15號2樓、17號2樓,(02)27053835,養護,30,0,30,0,0
25,私立,臺北市私立上上老人養護所,大安區,臺北市大安區仁慈里009鄰復興南路1段279巷14、16號1樓,(02)27032223,養護,15,0,15,0,0
26,私立,臺北市私立晨欣老人長期照顧中心(養護型),中山區,臺北市中山區集英里006鄰中山北路2段96巷19號3樓,(02)25212226,養護,27,0,27,0,0
27,私立,臺北市私立松湛園老人養護所,中山區,臺北市中山區聚盛里003鄰錦州街4巷1號2樓、2樓之1,(02)25652281,養護,37,0,37,0,0
28,私立,臺北市私立松青園老人養護所,中山區,臺北市中山區民安里021鄰民生西路30號2樓、2樓之1-4,(02)25110903,養護,29,0,29,0,0
